Empresa,Numero,Trimestre,Ativo total,Lucro operacional,Depositos totais,M_Roa,M_Ets,DP_Roa,z_score,TAM,LIQ,SB  t,SB t-1,PQ_dummy,Roa,Ets,LN Depósitos,Patrimonio liquido,LN PL
ABC,1,12_4t,13483126,94109,3397808,0.008596790395487,0.133843275058603,0.001677220928528,84.9262390131933,16.4169495356738,0.252004468399984,-0.181702668,0,0,0.006979761221545,0.124561099555103,15.0386410757918,1679473,14.3339906116921
ABC,1,13_1t,13973894,106113,2995667,0.008425573825037,0.131575849605613,0.001664950825628,84.0874224485609,16.4527014325498,0.214375964208688,-0.059180577,-0.181702668,0,0.007593660006295,0.125701182505034,14.9126774692442,1756535,14.3788536764787
ABC,1,13_2t,16381821,83701,3255187,0.008113881981642,0.129713274577188,0.001910356993415,72.1473300717592,16.6116828023712,0.198707274362234,-0.075362319,-0.059180577,0,0.005109383138785,0.109523782490359,14.9957602820514,1794199,14.4000692407557
ABC,1,13_3t,17195204,107445,3237657,0.007895113646369,0.127637544766534,0.001964962384431,68.9746834274236,16.6601410656921,0.188288373897745,-0.059347181,-0.075362319,0,0.006248544652334,0.108444482542923,14.9903604780226,1864725,14.4386241471047
ABC,1,13_4t,17259745,99472,3391566,0.007555138727474,0.125453536019979,0.001950192065805,68.2028591335582,16.6638874694664,0.196501512623738,-0.103368177,-0.059347181,0,0.005763236942377,0.111097933370394,15.0368023195947,1917522,14.4665442854302
ABC,1,14_1t,18393711,125561,4402343,0.00727024201763,0.122687538450132,0.001762159551018,73.7491564783177,16.7275193706762,0.239339576445449,-0.067692308,-0.103368177,0,0.006826300576322,0.107990714869881,15.2976474571607,1986350,14.5018093416954
ABC,1,14_2t,18229173,133462,4244572,0.006987118505403,0.120396723934179,0.001391704587209,91.530805898276,16.7185337808425,0.232845011674419,-0.06970128,-0.067692308,0,0.007321341456357,0.111436761283685,15.261151548145,2031400,14.5242357684875
ABC,1,14_3t,19211970,87378,4166830,0.006743561161537,0.119174326584319,0.001546499834204,81.4212099872,16.7710440802416,0.216887180231908,-0.044222539,-0.06970128,0,0.004548102042633,0.110750849600536,15.2426661128361,2127742,14.5705718814919
ABC,1,14_4t,20740424,87398,4230701,0.006238458294386,0.116078333182625,0.001249507202246,97.8920259580438,16.847595204144,0.20398334190275,-0.152442613,-0.044222539,0,0.004213896495076,0.105520745381097,15.2578782583324,2188545,14.5987474974305
ABC,1,15_1t,23115883,32239,4214161,0.00567995881128,0.113278522806257,0.001743566474545,68.2270985100131,16.9560305149777,0.182305863029329,-0.034055728,-0.152442613,0,0.001394668765195,0.098455940445797,15.2539610785965,2275896,14.637884378984
ABC,1,15_2t,23073813,147082,4579870,0.005771906093711,0.111605191500988,0.001749126229888,67.1061331017894,16.9542088960766,0.19848778353192,-0.08988764,-0.034055728,0,0.006374412412894,0.101205726162382,15.3371811714081,2335202,14.6636089549794
